show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s0,Movie,Title 0,Director 50,Actor 292,"United Kingdom, Canada, United States","June 18, 2021",2018,TV-Y,120 min,"Comedy, Fantasy",Description for title 0
s1,TV Show,Title 1,Director 70,Actor 209,India,"August 30, 2025",2012,TV-G,4 Seasons,"Sci-Fi, Romance, Crime",Description for title 1
s2,TV Show,Title 2,Director 47,Actor 445,"Germany, Spain, Netherlands","August 14, 2025",2003,R,80 min,Sci-Fi,Description for title 2
s3,Movie,Title 3,Director 18,Actor 217,France,"July 14, 2019",1998,R,4 Seasons,Thriller,Description for title 3
s4,Movie,Title 4,Director 5,Actor 240,"United Kingdom, India","December 05, 2021",2004,PG,13 Seasons,"Documentary, Horror",Description for title 4
s5,Movie,Title 5,Director 83,Actor 373,"United Kingdom, France, Australia","September 16, 2018",2014,PG-13,137 min,"Documentary, Crime, Drama",Description for title 5
s6,Movie,Title 6,Director 154,Actor 463,"France, United States","March 02, 2025",2009,PG-13,147 min,Action,Description for title 6
s7,TV Show,Title 7,Director 52,Actor 199,"Germany, United States, France","September 18, 2020",2011,PG,8 Seasons,"Thriller, Horror",Description for title 7
s8,Movie,Title 8,Director 106,Actor 215,"India, United States","September 29, 2020",1996,G,152 min,Action,Description for title 8
s9,TV Show,Title 9,Director 100,Actor 204,Germany,"August 06, 2025",2007,PG,2 Seasons,"Thriller, Horror, Action",Description for title 9
s10,Movie,Title 10,Director 47,Actor 412,"United Kingdom, Netherlands","May 08, 2022",2006,NC-17,7 Seasons,"Sci-Fi, Crime",Description for title 10
s11,TV Show,Title 11,Director 134,Actor 415,"France, Brazil, Germany","January 23, 2020",2003,TV-G,67 min,"Fantasy, Animation",Description for title 11
s12,TV Show,Title 12,Director 186,Actor 215,Netherlands,"March 20, 2018",2015,NC-17,152 min,"Action, Horror, Drama",Description for title 12
s13,Movie,Title 13,Director 68,Actor 79,"Turkey, Mexico, Italy","June 29, 2025",2021,PG-13,60 min,Animation,Description for title 13
s14,Movie,Title 14,Director 10,Actor 266,Germany,"October 19, 2025",2018,TV-Y7,132 min,Horror,Description for title 14
s15,Movie,Title 15,Director 142,Actor 479,South Korea,"April 29, 2023",1996,R,8 Seasons,Fantasy,Description for title 15
s16,Movie,Title 16,Director 191,Actor 389,"Brazil, India","January 05, 2022",1998,TV-Y7,12 Seasons,Animation,Description for title 16
s17,Movie,Title 17,Director 130,Actor 378,"United States, Italy, Germany","June 10, 2024",2001,TV-G,8 Seasons,"Crime, Comedy, Drama",Description for title 17
s18,Movie,Title 18,Director 121,Actor 34,"Germany, Japan, South Korea","January 08, 2022",1992,PG-13,1 Seasons,"Sci-Fi, Animation, Crime",Description for title 18
s19,Movie,Title 19,Director 68,Actor 288,Italy,"November 08, 2023",2021,TV-14,49 min,Action,Description for title 19
s20,Movie,Title 20,Director 22,Actor 17,Canada,"May 07, 2023",2022,G,178 min,Drama,Description for title 20
s21,Movie,Title 21,Director 180,Actor 164,"South Korea, Mexico, Australia","March 11, 2024",2004,TV-G,8 Seasons,"Animation, Drama, Horror",Description for title 21
s22,Movie,Title 22,Director 36,Actor 12,"United States, Australia","October 30, 2020",1998,TV-Y,156 min,"Adventure, Horror, Comedy",Description for title 22
s23,Movie,Title 23,Director 8,Actor 201,"Australia, Turkey, France","April 04, 2024",2006,PG-13,4 Seasons,"Sci-Fi, Fantasy",Description for title 23
s24,Movie,Title 24,Director 14,Actor 228,"Spain, Italy","June 17, 2019",2017,TV-PG,12 Seasons,Animation,Description for title 24
s25,TV Show,Title 25,Director 130,Actor 345,"Brazil, India","October 18, 2018",2002,G,121 min,"Thriller, Comedy",Description for title 25
s26,Movie,Title 26,Director 92,Actor 365,"Canada, Japan, Netherlands","November 14, 2020",2010,TV-G,44 min,"Drama, Horror, Documentary",Description for title 26
s27,Movie,Title 27,Director 197,Actor 464,"United Kingdom, United States","January 14, 2021",1994,TV-PG,14 Seasons,"Animation, Horror, Crime",Description for title 27
s28,Movie,Title 28,Director 16,Actor 447,"Mexico, Italy, France","February 26, 2018",1996,TV-14,44 min,Romance,Description for title 28
s29,Movie,Title 29,Director 153,Actor 0,France,"February 07, 2022",2008,G,62 min,"Action, Adventure",Description for title 29
s30,Movie,Title 30,Director 148,Actor 318,"France, Germany","November 23, 2017",2021,TV-PG,5 Seasons,"Animation, Sci-Fi",Description for title 30
s31,Movie,Title 31,Director 71,Actor 216,Turkey,"December 15, 2023",1992,NC-17,105 min,Fantasy,Description for title 31
s32,Movie,Title 32,Director 148,Actor 33,"United Kingdom, Germany","December 24, 2019",2016,NC-17,3 Seasons,"Action, Animation",Description for title 32
s33,TV Show,Title 33,Director 120,Actor 358,"Australia, Brazil, Germany","April 02, 2024",1997,TV-MA,12 Seasons,"Horror, Drama",Description for title 33
s34,TV Show,Title 34,Director 10,Actor 265,"Australia, Spain, Netherlands","June 19, 2019",2008,NC-17,108 min,Adventure,Description for title 34
s35,TV Show,Title 35,Director 165,Actor 127,"United States, Germany, Turkey","March 31, 2022",2019,TV-MA,14 Seasons,"Action, Animation, Thriller",Description for title 35
s36,Movie,Title 36,Director 71,Actor 211,United States,"April 28, 2022",1999,G,12 Seasons,"Action, Romance, Horror",Description for title 36
s37,Movie,Title 37,Director 105,Actor 262,"Italy, Japan","October 24, 2025",2019,NC-17,136 min,Documentary,Description for title 37
s38,TV Show,Title 38,Director 124,Actor 311,India,"September 04, 2023",1998,TV-14,151 min,"Horror, Comedy, Adventure",Description for title 38
s39,Movie,Title 39,Director 34,Actor 79,"Australia, Canada, South Korea","December 02, 2022",2011,TV-14,81 min,"Documentary, Sci-Fi",Description for title 39
s40,Movie,Title 40,Director 118,Actor 164,"Italy, United Kingdom","February 20, 2023",2020,TV-Y,87 min,"Horror, Animation, Action",Description for title 40
s41,Movie,Title 41,Director 13,Actor 412,"Spain, Brazil","September 21, 2024",1999,NC-17,112 min,"Fantasy, Comedy, Sci-Fi",Description for title 41
s42,Movie,Title 42,Director 13,Actor 251,"France, Italy, Brazil","February 14, 2019",1999,TV-Y,89 min,Crime,Description for title 42
s43,TV Show,Title 43,Director 9,Actor 11,"France, Spain","September 03, 2025",2016,TV-PG,105 min,"Fantasy, Thriller",Description for title 43
s44,Movie,Title 44,Director 139,Actor 400,Australia,"November 02, 2025",2004,TV-Y7,7 Seasons,Crime,Description for title 44
s45,TV Show,Title 45,Director 37,Actor 303,"India, Australia","August 19, 2019",2008,TV-MA,11 Seasons,"Action, Romance",Description for title 45
s46,Movie,Title 46,Director 107,Actor 211,"Turkey, South Korea","March 07, 2025",2000,NC-17,137 min,"Documentary, Action, Animation",Description for title 46
s47,Movie,Title 47,Director 118,Actor 281,"Netherlands, France, Spain","September 07, 2024",2021,TV-14,160 min,"Action, Sci-Fi, Thriller",Description for title 47
s48,Movie,Title 48,Director 33,Actor 111,France,"June 06, 2023",2009,TV-PG,9 Seasons,"Documentary, Comedy, Sci-Fi",Description for title 48
s49,Movie,Title 49,Director 168,Actor 210,Italy,"May 06, 2024",2004,NC-17,5 Seasons,"Horror, Thriller, Adventure",Description for title 49
s50,TV Show,Title 50,Director 9,Actor 377,"India, Australia, Canada","December 30, 2025",1993,NC-17,5 Seasons,Adventure,Description for title 50
